Adress,Educational Institute,Restaurants,Medical Service,Parks
"Naya Paltan, Motijheel, Dhaka",35,50,8,50
"Nayarhat, Ashulia, Savar, Dhaka",2,2,0,1
"Nayatola, Boro Maghbazar, Maghbazar, Dhaka",50,50,19,50
"Nayatola, Maghbazar, Dhaka",50,50,19,50
"Nazimuddin Road, Saat Rawza, Bangshal, Dhaka",50,50,9,50
"New Ali Bohor, Postagola, Shyampur, Dhaka",36,50,3,24
"New Eskaton, Eskaton, Dhaka",50,50,18,50
"New Market, Dhaka",50,50,15,50
"Niketan, Dhaka",50,50,28,18
"Nikunja 1, Nikunja, Dhaka",5,16,0,7
"Nikunja 2, Nikunja, Dhaka",3,8,0,6
"Nimtoli, Saat Rawza, Bangshal, Dhaka",40,48,9,38
"Nobinbagh, West Meradia, Meradia, Khilgaon, Dhaka",24,28,6,12
"Nobodoy Housing Society, Mohammadpur, Dhaka",50,26,6,13
"Noorpur, South Doniya, Doniya, Shyampur, Dhaka",24,47,2,6
"North Adabor, Adabor, Dhaka",35,48,24,30
"North Azampur, Dakshin Khan, Dhaka",24,35,2,12
"North Bashabo, Bashabo, Dhaka",46,49,11,38
"North Bishil, Section 1, Mirpur, Dhaka",26,27,3,13
"North Donia, Donia, Jatra Bari, Dhaka",24,41,2,15
"North Gawair, Gawair, Dakshin Khan, Dhaka",27,42,2,7
"North Goran, Goran, Khilgaon, Dhaka",32,39,8,13
"North Goran, Khilgaon,  Dhaka-1219, Goran, Khilgaon, Dhaka",27,35,8,12
"North Goran, Khilgaon, Dhaka",28,38,8,13
"North Ibrahimpur, Ibrahimpur, Dhaka",12,18,3,8
"North Jatra Bari, Jatra Bari, Dhaka",24,41,2,5
"North Jurain, Jurain, Shyampur, Dhaka",6,7,1,4
"North Kalachandpur, Kalachandpur, Dhaka",16,36,2,16
"North Kamlapur, Kamlapur, Motijheel, Dhaka",28,38,8,13
"North Kutubkhali, Kutubkhali, Jatra Bari, Dhaka",24,41,2,5
"North Manda, Manda, Mugdapara, Dhaka",28,38,8,13
"North Manikdi, Manikdi, Cantonment, Dhaka",25,32,3,18
"North Mugdapara, Mugdapara, Dhaka",28,38,8,13
"North Pirerbag, Pirerbag, Mirpur, Dhaka",21,40,1,16
"North Pirerbag, Pirerbag, Section 1, Mirpur, Dhaka",26,27,3,13
"North Shahjahanpur, Dhaka",28,40,12,20
"North Shahjahanpur, Shahjahanpur, Dhaka",26,40,12,20
"North Tengra, Tengra, Sarulia, Demra, Dhaka",0,0,0,2
"North Vashantek, Vashantek, Cantonment, Dhaka",22,33,2,20
"North West Jatrabari, Jatra Bari, Dhaka",50,50,5,39
"North-East Rajabari, Rajabari, Uttar Khan, Dhaka",23,5,2,4
"Notun Jurain, Jurain, Shyampur, Dhaka",6,7,1,4
"Nowapara, Dakshin Khan, Dhaka",14,6,0,4
"Noyapara Road, Donia, Jatra Bari, Dhaka",30,41,2,12
"Nurer Chala, Badda, Dhaka",12,13,6,5
"Old Elephant Road, Maghbazar, Dhaka",40,48,19,44
"Old Eskaton, Eskaton, Dhaka",42,45,18,46
"Paikpara, Ahmed Nagar, Mirpur, Dhaka",29,24,7,16
"Paikpara, Mirpur, Dhaka",50,27,6,8
"Pakar Matha, East Shewrapara, Mirpur, Dhaka",29,19,3,14
"Pallabi Extension, Pallabi, Mirpur, Dhaka",50,26,6,13
"Pallabi, Mirpur, Dhaka",50,26,6,13
"Panthapath, Kathalbagan, Dhaka",36,48,30,33
"Parbotinagar, Savar, Dhaka",0,0,0,0
"Paribagh, Dhaka",28,32,20,26
"PC Culture Housing Society, Shyamoli, Dhaka",32,38,30,12
"PC Culture Housing, Mohammadpur, Dhaka",32,37,30,14
"Phase Three, Pink City Model Town, Dumni, Dhaka",0,0,0,0
"Pilkhana, Hazaribag, Dhaka",38,42,8,40
"Pirerbag, Mirpur, Dhaka",21,40,1,16
"Pirerbag, Section 1, Mirpur, Dhaka",26,27,3,13
"Polash Bari, Baipail, Ashulia, Savar, Dhaka",2,2,0,1
"Polashpur, East Doniya, Doniya, Shyampur, Dhaka",24,47,2,6
"Popular Housing, Borobag, Section 2, Mirpur, Dhaka",26,27,5,13
"Porod Diea, Satarkul, Uttar Badda, Badda, Dhaka",50,50,50,16
"Postagola, Shyampur, Dhaka",24,47,3,6
"Principle Ershadullah Road, South Sheikhdi, Sheikhdi, Jatra Bari, Dhaka",50,50,4,32
"Priyanka City, Sector 12, Uttara, Dhaka",12,16,2,6
"Purana Paltan, Motijheel, Dhaka",42,50,8,50
"Purana Polton Lane, Purana Paltan, Motijheel, Dhaka",42,50,8,50
"Purbanchal Road, Uttar Badda, Badda, Dhaka",50,50,50,16
"Purbohati, Hemayetpur, Savar, Dhaka",5,6,1,1
"Radio Colony, Savar, Dhaka",5,40,14,2
"Rainkhola, Block Cha, Section 2, Mirpur, Dhaka",26,27,5,13
"Rajabari, Postagola, Shyampur, Dhaka",24,47,3,6
"RajaBari, Savar, Dhaka",24,47,3,6
"Rajabari, Uttar Khan, Dhaka",23,5,2,4
"Rajabazar, Tejgaon, Dhaka",16,44,12,15
"Rajarbag, Bashabo, Dhaka",32,24,6,27
"Rajarbagh, Motijheel, Dhaka",42,50,8,50
"Rajfulbaria, Savar, Dhaka",5,45,17,5
"Rampura, Dhaka",36,50,8,28
"Ranavola- Block D, Sector 10, Uttara, Dhaka",12,16,2,6
"Rasul Nagar, Sarulia, Demra, Dhaka",0,0,0,2
"Rasulbag, South Doniya, Doniya, Shyampur, Dhaka",24,47,2,6
"Rasulpur, Donia, Jatra Bari, Dhaka",30,37,5,16
"Rayer Bazaar, Hazaribag, Dhaka",38,42,8,40
"Rayerbag, Kadamtali, Shyampur, Dhaka",24,47,3,6
"Rayerbag, Purba Jurain, Shyampur, Dhaka",6,7,1,4
"Ring Road, Mohammadpur, Dhaka",50,29,40,11
"Ring Road, Shyamoli, Dhaka",32,38,30,12
"RK Mission Road, Gopibag, Motijheel, Dhaka",9,15,1,17
"Road No 1, Sector 6, Uttara, Dhaka",22,33,3,12
"Road No 1, West Nandipara, Khilgaon, Dhaka",7,2,1,0
"Road No 10, Block C, Section 11, Mirpur, Dhaka",26,27,15,13
"Road No 11, Block C, Section 11, Mirpur, Dhaka",26,27,14,13
"Road No 12, Block B, Section 11, Mirpur, Dhaka",26,27,14,13
"Road No 12, Sector 4, Uttara, Dhaka",22,33,3,12
"Road No 16, Banani, Dhaka",50,50,20,50
"Road No 17, Sector 12, Uttara, Dhaka",16,27,3,10
"Road No 1B, Sector 5, Uttara, Dhaka",22,33,3,12
"Road No 2, Block D, Bashundhara R-A, Dhaka",6,13,3,5
"Road No 4, Block G, Bashundhara R-A, Dhaka",6,13,3,5
"Road No 5, Dhanmondi, Dhaka",20,30,12,34
"Road No 7, Block E, Banasree, Dhaka",4,5,1,3
"Road No 8, Block A, Section 11, Mirpur, Dhaka",26,27,14,13
"Road No 9, Block A, Section 11, Mirpur, Dhaka",26,27,14,13
"Rokonpur, Kolta Bazar, Sutrapur, Dhaka",50,50,9,45
"Rupali Housing, Section 3, Mirpur, Dhaka",26,27,3,13
"Rupnagar R/A, Mirpur, Dhaka",26,27,3,13
"Saat Rawza, Bangshal, Dhaka",50,50,9,50
"Sabujbag, Savar, Dhaka",5,45,16,6
"Sabujbag, South Bashabo, Bashabo, Dhaka",24,17,6,11
"Sadarghat, Kotwali, Dhaka",30,21,3,9
"Sanarpar, Dogair, Demra, Dhaka",4,7,0,1
"Sankar, Hazaribag, Dhaka",38,42,8,40
"Sarulia, Demra, Dhaka",0,0,0,2
"Satarkul, Uttar Badda, Badda, Dhaka",50,50,38,16
"Savar, Dhaka",5,45,18,7
"Sayedabad, Jatra Bari, Dhaka",24,41,2,5
"Sayednagar, East Vatara, Vatara, Badda, Dhaka",14,21,8,13
"Sayem Sobhan Anvir Road, Block C, Bashundhara R-A, Dhaka",15,31,4,17
"Section 1, Mirpur, Dhaka",26,27,3,13
"Section 10, Mirpur, Dhaka",50,50,15,19
"Section 11, Mirpur, Dhaka",50,50,14,19
"Section 12, Mirpur, Dhaka",50,50,12,19
"Section 13, Mirpur, Dhaka",50,50,15,19
"Section 2, Mirpur, Dhaka",26,27,11,13
"Section 3, Mirpur, Dhaka",26,27,12,13
"Section 6, Mirpur, Dhaka",26,27,11,13
"Section 7, Mirpur, Dhaka",26,27,10,13
"Sector 1, Block D, Aftab Nagar, Dhaka",4,12,3,5
"Sector 1, Block E, Aftab Nagar, Dhaka",4,14,2,5
"Sector 1, Block F, Aftab Nagar, Dhaka",4,12,2,5
"Sector 1, Block G, Aftab Nagar, Dhaka",4,5,2,5
"Sector 1, Block K, Aftab Nagar, Dhaka",4,5,2,5
"Sector 1, Uttara, Dhaka",16,20,0,18
"Sector 10, Uttara, Dhaka",16,27,3,10
"Sector 11, Uttara, Dhaka",16,27,3,10
"Sector 12, Uttara, Dhaka",16,27,3,10
"Sector 13, Uttara, Dhaka",16,27,3,10
"Sector 14, Uttara, Dhaka",16,27,3,10
"Sector 15, Uttara, Dhaka",16,27,3,10
"Sector 2, Block D, Aftab Nagar, Dhaka",4,12,3,5
"Sector 2, Block E, Aftab Nagar, Dhaka",4,10,2,5
"Sector 2, Block F, Aftab Nagar, Dhaka",4,6,2,5
"Sector 2, Block H, Aftab Nagar, Dhaka",4,5,2,5
"Sector 3, Uttara, Dhaka",18,33,3,12
"Sector 4, Uttara, Dhaka",22,33,3,12
"Sector 5, Uttara, Dhaka",18,33,4,12
"Sector 6, Uttara, Dhaka",22,33,3,12
"Sector 7, Uttara, Dhaka",22,33,4,12
"Sector 9, Uttara, Dhaka",16,27,3,10
"Senpara Parbata, Dhaka",50,50,15,19
"Senpara Parbata, Section 10, Mirpur, Dhaka",50,50,15,19
"Sepahibag, North Goran, Khilgaon,  Dhaka-1219, Goran, Khilgaon, Dhaka",31,39,8,13
"Shadhinata Sharani, Uttar Badda, Badda, Dhaka",50,50,50,16
"Shah Ali Bag, Section 1, Mirpur, Dhaka",24,27,3,13
"Shahbagh, Dhaka",20,30,16,30
"Shahibag, Savar, Dhaka",5,45,17,4
"Shahid Nagar, Lalbagh, Dhaka",50,41,3,38
"Shahid Nagar, West Jurain, Jurain, Shyampur, Dhaka",6,7,1,4
"Shahidbag, Malibagh, Dhaka",57,62,16,30
"Shahjadpur, Badda, Dhaka",12,13,6,5
"Shahjahanpur, Dhaka",32,40,12,20
"Shaikh Saheb Bazar Road, Azimpur, Lalbagh, Dhaka",50,41,1,38
"Shamibag Road, Shamibag, Sutrapur, Dhaka",50,50,9,45
"Shamibag, Sutrapur, Dhaka",50,50,9,45
"Shantibag, Malibagh, Dhaka",57,62,16,30
"Shantibag, Matuail, Demra, Dhaka",4,7,0,1
"Shantinagar, Dhaka",20,25,10,22
"Shantipur, South Goran, Goran, Khilgaon, Dhaka",27,32,8,12
"Shardar Bari, Dakshin Khan, Dhaka",27,42,2,7
"Shegunbagicha, Dhaka",25,25,10,24
"Sheikhdi, Jatra Bari, Dhaka",50,50,4,32
"Shemolbag, Uttar Khan, Dhaka",23,5,2,4
"Sher-E-Bangla Avenue, Dolipara, Uttara, Dhaka",18,47,1,16
"Shiddheswari, Dhaka",22,30,16,22
"Shimulbag, West Rampura, Rampura, Dhaka",26,50,8,18
"Shimultola, Jamgora, Ashulia, Savar, Dhaka",2,2,0,1
"Shonalibagh, Boro Maghbazar, Maghbazar, Dhaka",50,50,19,50
"Shukrabad, Dhanmondi, Dhaka",20,30,12,34
"Shuritola, Bangshal, Dhaka",44,50,6,50
"Shyamoli Housing (2nd Project), Adabor, Dhaka",32,38,30,12
"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",50,29,50,11
"Shyamoli, Dhaka",32,38,30,12
"Shyampur, Dhaka",24,47,3,6
"Sikder Real Estate, Tali office Road, Hazaribag, Dhaka",38,42,8,40
"Sipahibag Bazar, Khilgaon, Dhaka",27,32,8,12
"Sipahibagh, North Goran, Goran, Khilgaon, Dhaka",27,32,8,12
"Sobhanbag, Savar, Dhaka",5,45,17,7
"Sobhanbagh, Tejgaon, Dhaka",16,44,12,15
"Solmaid, Badda, Dhaka",12,13,6,5
"Sonatangar, Jigatola, Hazaribag, Dhaka",38,42,8,40
"Sontek, Donia, Jatra Bari, Dhaka",24,41,2,15
"South Azampur, Dakshin Khan, Dhaka",27,42,2,7
"South Badda, Badda, Dhaka",12,13,6,5
"South Banasree Project, Banasree, Dhaka",4,5,1,3
"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",12,13,6,5
"South Bashabo, Bashabo, Dhaka",24,17,6,11
"South Bishil, Section 1, Mirpur, Dhaka",26,27,3,13
"South Chalabon, Dakshin Khan, Dhaka",27,42,2,7
"South Dariapur, Vagolpur, Savar, Dhaka",0,0,0,0
"South Donia, Donia, Jatra Bari, Dhaka",50,50,5,39
"South Doniya, Doniya, Shyampur, Dhaka",24,47,2,6
"South Goran, Goran, Khilgaon, Dhaka",27,32,8,12
"South Goran, Goran, Khilgaon, Goran, Khilgaon, Dhaka",27,32,8,12
"South Goran, Khilgaon, Dhaka",27,32,8,12
"South Jatra Bari, Jatra Bari, Dhaka",24,41,2,5
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",44,18,50,22
"South Kutubkhali, Kutubkhali, Jatra Bari, Dhaka",24,41,2,5
"South Madartek, Madartek, Bashabo, Dhaka",24,17,6,11
"South Manda, Manda, Mugdapara, Dhaka",20,14,5,20
"South Manikdi, Manikdi, Cantonment, Dhaka",25,37,2,20
"South Maniknagar, Maniknagar, Dhaka",6,6,2,11
"South Matuail, Matuail, Demra, Dhaka",4,7,0,1
"South Mollartek, Dakshin Khan, Dhaka",27,42,2,7
"South Monipur, Mirpur, Dhaka",16,44,12,15
"South Mugdapara, Mugdapara, Dhaka",20,14,5,20
"South Pirerbag, Pirerbag, Mirpur, Dhaka",21,40,1,16
"South Pirerbag, Pirerbag, Section 1, Mirpur, Dhaka",26,27,3,13
"South Sheikhdi, Sheikhdi, Jatra Bari, Dhaka",50,50,4,32
"South Vhadail, Vhadail, Ashulia, Savar, Dhaka",2,2,0,1
"Sritidara R/A, East Doniya, Doniya, Shyampur, Dhaka",24,47,2,6
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Sugandha Housing, Alom Nogor, Hemayetpur, Savar, Dhaka",5,6,1,1
"Sujat Nagar, Pallabi, Mirpur, Dhaka",50,26,6,13
"Sultanganj, Rayer Bazaar, Hazaribag, Dhaka",38,42,8,40
"Sunibir Housing Society, Adabor, Dhaka",32,38,30,12
"Sutrapur, Dhaka",50,50,9,45
"Swapnodhara Housing, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Tajmahal Road, Mohammadpur, Dhaka",50,29,50,11
"Talbag, Savar, Dhaka",5,45,17,0
"Talertek, Khilkhet, Dhaka",4,9,0,7
"Tali office Road, Hazaribag, Dhaka",38,42,8,40
"Tallabag, Hazaribag, Dhaka",38,42,8,40
"Taltola, Agargaon, Dhaka",26,18,22,16
"Taltola, Dakshin Khan, Dhaka",26,18,22,16
"Taltola, Dhaka",26,18,22,16
"Taltola, Khilgaon, Dhaka",26,18,22,16
"Tan Para, Nikunja 2, Nikunja, Dhaka",3,8,0,6
"Tati Bazaar, Kotwali, Dhaka",30,21,3,9
"Tejgaon Industrial Area, Tejgaon, Dhaka",20,48,12,15
"Tejgaon, Dhaka",18,42,13,16
"Tejkunipara, Tejgaon, Dhaka",19,47,12,15
"Tejturi Bazar, Tejgaon, Dhaka",16,44,12,15
"Tekpara, Badda, Dhaka",12,38,33,4
"Tengra, Sarulia, Demra, Dhaka",0,0,0,2
"TIC Colony, Faydabad, Dakshin Khan, Dhaka",6,14,3,5
"Tikatuli, Sutrapur, Dhaka",50,50,9,45
"Tilpapara Road, Tilpapara, Khilgaon, Dhaka",27,32,8,12
"Tilpapara, Khilgaon, Dhaka",27,32,8,12
"Tolarbag, Section 1, Mirpur, Dhaka",26,27,3,13
"Transmitter, Faydabad, Dakshin Khan, Dhaka",6,14,3,5
"Turag City, Section 1, Mirpur, Dhaka",26,27,3,13
"Turag Housing, Mohammadpur, Dhaka",50,29,33,11
"Turag, Dhaka",50,29,38,11
"Ullan, Rampura, Dhaka",36,50,8,28
"Ullan, West Rampura, Rampura, Dhaka",26,50,8,18
"Uttar Badda, Badda, Dhaka",50,50,50,16
"Uttar Khan, Dhaka",23,5,2,4
"Uttar Namapara, Namapara, Khilkhet, Dhaka",1,6,0,4
"Uttar Para, Khilkhet, Dhaka",2,7,0,4
"Uttar Para, Savar, Dhaka",5,38,14,6
"Uttara, Dhaka",19,47,1,7
"Vagolpur, Savar, Dhaka",5,42,17,5
"Vangapress, Sheikhdi, Jatra Bari, Dhaka",50,50,4,32
"Vashantek, Cantonment, Dhaka",20,37,2,20
"Vatara, Badda, Dhaka",50,50,5,19
"Vhatara Road, Natun Bazar, Badda, Dhaka",17,50,11,6
"Ward 23, Chowdhuripara, Khilgaon, Dhaka",40,55,10,45
"Ward 6, West Nurer Chala, Nurer Chala, Badda, Dhaka",12,13,6,5
"Ward 9, East Khilbari Tek, Khilbari Tek, Badda, Dhaka",17,28,16,9
"Ward 98, Rampura, Dhaka",36,50,8,28
"Wari, Sutrapur, Dhaka",50,50,9,45
"Wasa Lane, Jurain, Shyampur, Dhaka",6,7,1,4
"West Agargaon, Agargaon, Dhaka",28,18,33,35
"West Bank Town, Bank Town, Savar, Dhaka",1,11,3,1
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",20,0,0,9
"West Dhanmondi, Dhanmondi, Dhaka",20,0,0,9
"West Dogair, Konapara, Demra, Dhaka",2,1,1,2
"West Dolairpar, Shyampur, Dhaka",24,47,3,6
"West Jatrabari, Jatra Bari, Dhaka",50,50,5,39
"West Kafrul, Taltola, Agargaon, Dhaka",26,18,22,16
"West Kafrul, Taltola, Dhaka",26,18,22,16
"West Kalachandpur, Kalachandpur, Dhaka",16,36,2,16
"West Katashur, Katashur, Mohammadpur, Dhaka",50,50,25,33
"West Kazipara, Mirpur, Dhaka",47,50,6,18
"West Malibag, Malibagh, Dhaka",57,62,16,30
"West Maniknagar, Maniknagar, Dhaka",18,27,2,38
"West Meradia, Meradia, Khilgaon, Dhaka",25,30,8,9
"West Mollartek, Dakshin Khan, Dhaka",24,40,2,9
"West Monipur, Mirpur, Dhaka",32,48,5,18
"West Nakhalpara, Tejgaon, Dhaka",16,37,1,26
"West Nandipara, Khilgaon, Dhaka",7,2,1,0
"West Nurer Chala, Nurer Chala, Badda, Dhaka",12,13,6,5
"West Para, Bamoil, Sarulia, Demra, Dhaka",0,0,0,2
"West Pirerbag, Pirerbag, Mirpur, Dhaka",21,40,1,16
"West Rajashon, Rajashon, Savar, Dhaka",5,45,17,0
"West Rampura, Rampura, Dhaka",26,50,8,18
"West Sheikhdi, Sheikhdi, Jatra Bari, Dhaka",50,50,4,32
"West Shewrapara, Mirpur, Dhaka",29,19,3,14
"West Vatara, Vatara, Badda, Dhaka",50,50,5,19
"Zafrabad, Dhaka",38,42,8,40
"Zafrabad, Hazaribag, Dhaka",38,42,8,40
"Zirabo, Ashulia, Savar, Dhaka",2,2,0,1